sgRNA	Gene	ahEGFRv3_1to2rep1	ahEGFRv3_1to2rep2	ahEGFRv3_1to2rep3	amCD19_1to2rep1	amCD19_1to2rep2	amCD19_1to2rep3
BRDN0007693687	Zscan4f	851.9803784488412	663.8404941259668	716.9373454151689	876.5094801258322	706.5754833049295	903.5668292498515
BRDN0007693686	Zscan4f	931.1543126077233	828.9035359086395	851.3630976805131	670.6028885173248	561.0025213536696	618.474912744747
BRDN0007693685	Zscan4f	325.301599044103	396.51013297794225	342.9580089846601	220.53383582113364	196.78242287482564	190.83703798709033
BRDN0007693684	Zscan4f	406.1967056847	428.8050759354217	448.0858408844806	705.4832401012795	672.6276384230151	643.4931829686643
BRDN0007693683	Zscan4f	366.60973860525894	326.5377565700701	370.53252226985893	640.7858137762021	613.3627566800121	584.1475187165813
BRDN0007693682	Zscan4f	920.8272777174344	925.7883647810779	908.2355313312356	1336.7050865076876	1421.7817746306846	1436.5141670430671
BRDN0007693681	Zscan4c	464.71657006300427	434.187566428335	427.4049559205815	407.312492690053	371.7001320968929	405.52870572256694
BRDN0007693680	Zscan4c	776.2487892533886	748.1661785149408	692.80964629062	734.737728526532	685.2861568535594	738.3298817244439
BRDN0007693679	Zscan4c	827.8839637048335	760.7253229984051	804.8311065117401	1211.8109243844945	1168.0360188184095	1248.0044100070388
BRDN0007693678	Zscan4c	457.83188013614495	468.2766728834522	355.0218585469346	343.74023899671596	362.4939368746788	402.61960453373933
BRDN0007693677	Zscan4c	691.9113376493619	730.2245435385634	765.1927436642668	744.8642822121963	680.6830592424525	748.2208257664578
BRDN0007693676	Zscan4c	678.1419577956433	640.516368656676	687.6394250496452	473.1350916468709	489.07912118012223	490.4744604363328
BRDN0007694815	Zscan26	772.8064442899589	753.5486690078541	797.9374781904404	896.7625874971608	809.5697923534493	839.5666030956443
BRDN0007694814	Zscan26	1755.5959313491273	1817.4876231070386	1816.4710626624712	1253.4423117588922	1315.3351423738345	1218.3315778809974
BRDN0007694813	Zscan26	538.726986776742	522.1015778125847	523.9157524187773	886.6360338114965	985.062888776905	1013.5308541875346
BRDN0007694812	Zscan26	1555.9399234702068	1602.1880033905088	1669.9814608348527	1645.0023876045784	1700.2691801026601	1685.5332288067093
BRDN0007694811	Zscan26	1247.8500492432522	993.9665776913123	1185.7040712635485	1293.3859401856791	1191.626894075333	1312.004636161246
BRDN0007694810	Zscan26	1142.8585278586474	1180.559581445638	1120.2146022112015	1035.7214075171098	1031.6692520893637	962.3306732641689
BRDN0007694929	Zpld2	838.2109985951225	728.4303800409257	839.2992481182387	700.9825495743177	620.842790298061	694.69336389203
BRDN0007694928	Zpld2	1079.1751460351988	832.491862903915	947.873894178709	934.4558706604668	979.3090167630212	1040.2945851247484
BRDN0007694927	Zpld2	1158.349080194081	1130.323003511781	1246.023319074921	1513.9197760068128	1600.7271942624704	1687.2786895200059
BRDN0007694926	Zpld2	855.4227234122708	839.6685168944659	877.214203885387	611.5313253509497	594.3749790341956	555.6383270660709
BRDN0007694925	Zpld2	1530.1223362444844	1453.2724330865758	1464.8960182761864	1277.0709370254422	1243.411742200287	1284.077264748501
BRDN0007694924	Zpld2	1084.3386634803433	1072.9097715873731	1101.2571243276273	1318.7023243998399	1318.7874655821647	1412.6595372946808
BRDN0007693675	Zmiz1	1201.3783922369519	1367.1525851999638	1344.2575226534418	881.5727569686643	771.018849860428	827.930198340334
BRDN0007693674	Zmiz1	1199.6572197552368	1037.0265016346182	1018.5335844720308	808.9991222214035	814.1728899645564	874.4758173615754
BRDN0007693673	Zmiz1	635.1126457527726	642.3105321543137	535.9796019810518	533.8944137608567	481.5990875620733	484.07443782091207
BRDN0007693672	Zmiz1	387.2638083858369	383.95098849447805	344.68141606498506	968.7736359285514	1010.3799256379937	1000.7308089566932
BRDN0007693671	Zmiz1	413.08139561155934	464.6883458881767	429.1283630009064	172.1514126562931	151.3268339651437	125.09135111958665
BRDN0007693670	Zmiz1	406.1967056847	353.4502090346363	391.21340723375806	124.33157580732279	144.42218754848315	149.52780110573846
BRDN0007693669	Zfpm2	962.1354172785904	945.5241632550931	830.682212716614	933.3306980287263	968.376659936642	964.6579542152309
BRDN0007693668	Zfpm2	977.6259696140238	828.9035359086395	937.5334516967594	718.422725366295	646.1598271591497	633.020418688885
BRDN0007693667	Zfpm2	616.1797484539094	583.103136732268	575.617964828525	728.5492790519594	746.2772002007276	741.8208031510371
BRDN0007693666	Zfpm2	456.1107076544301	443.15838391652375	499.78805329422835	357.2423105776017	349.83541844413446	299.6374224492424
BRDN0007693665	Zfpm2	1280.552326395834	1281.032737313352	1308.0659739666182	1050.348651729736	1037.4231241032473	1125.2403398385143
BRDN0007693664	Zfpm2	681.5843027590729	706.9004180692726	672.1287613267209	542.8957948147805	489.6545083815106	527.1291354155604
BRDN0007693663	Zfp984	516.3517445144491	559.7790112629773	565.2775223465756	765.1173895835249	841.2160884298102	769.1663543260165
