sgRNA	Gene	AR2466_SP	AR2467_SP	AR2468_SP	AR2469_SP	AR2473_SP	AR2474_SP	AR2475_SP	AR2476_SP
BRDN0007693687	Zscan4f	221.35825437587135	343.4102223742703	280.02379039395817	257.7088585863397	364.5361393100633	331.8746685174708	390.2605798589381	453.6367432610747
BRDN0007693686	Zscan4f	227.45068339539074	216.62374786900173	249.45047332861284	153.67959456983561	244.7415776286644	107.00241201570847	482.0865986492765	102.76757320525687
BRDN0007693685	Zscan4f	78.52464069602776	95.63322648397401	116.03963522528787	133.97708244549773	72.13435972213267	25.914646660054395	28.695630871980743	60.80921491435317
BRDN0007693684	Zscan4f	289.72884670603344	246.32800761023609	366.1849566690222	256.1326576163927	208.67439776759807	182.23848296425348	459.1300939516919	132.5640885132899
BRDN0007693683	Zscan4f	121.17164383266352	72.44941400301062	55.58784920971874	172.59400620920002	37.355293427532985	58.51694407109057	40.17388322077304	70.53868930064968
BRDN0007693682	Zscan4f	432.56246038587705	376.7369528156552	207.06473830620232	257.7088585863397	368.40048000946325	366.14887861625243	149.21728053429987	357.55818369639667
BRDN0007693681	Zscan4c	115.75615137086851	126.06198036523847	243.19684029251948	146.58669020507398	146.84494657719864	91.11924148212674	34.434757046376895	89.9976380732427
BRDN0007693680	Zscan4c	224.06600060676885	228.21565410948344	178.57596558622146	246.67545179671052	677.5477359614604	288.40493863608924	350.08669663816505	269.38482207058456
BRDN0007693679	Zscan4c	282.95948112878966	298.49158569240376	127.15720506723162	248.25165276665754	229.28421483106456	248.27903413019857	1159.303487228022	356.9500915472531
BRDN0007693678	Zscan4c	224.06600060676885	115.91906240481698	115.34478711016638	128.46037905068312	113.35399384906562	289.240894979962	120.52164966231912	302.22179812433524
BRDN0007693677	Zscan4c	173.97269533516496	652.7692201671257	348.11890567586363	419.2694580059105	423.7893633675294	268.3419863831439	453.39096777729577	166.00915671618415
BRDN0007693676	Zscan4c	335.0835960735667	370.21650555538423	208.45443453644526	508.32481280791785	238.30100979633113	281.71728788510745	487.82572482367266	347.22061716095664
BRDN0007694815	Zscan26	492.13287746562224	221.69520684921247	370.3540453597511	238.79444694697537	598.9728084069944	386.21183086919774	344.34757046376893	377.6252246181332
BRDN0007694814	Zscan26	384.4999647874463	531.7786987820979	400.9273624250964	457.0982812846393	153.2855144095319	603.5604802761056	487.82572482367266	569.7823437474892
BRDN0007694813	Zscan26	92.74030840823968	155.76624010647282	181.35535804670738	265.5898634360749	81.15115468739926	309.3038472329073	103.30427113913068	190.94093483106894
BRDN0007694812	Zscan26	509.0562914087317	497.0029800606528	359.2364755178074	524.0868225073882	948.0515849194579	780.7832251771227	855.1297999850261	477.3523370776724
BRDN0007694811	Zscan26	282.2825445710653	211.552288888791	334.22194337343393	342.035610478506	204.81005706819812	205.6452605926897	258.2606778478267	154.45540588245706
BRDN0007694810	Zscan26	297.852085398726	344.1347165143004	260.5680431705566	447.6410754649571	1079.4391686990566	217.34864940690784	263.99980402222286	263.30390057914923
BRDN0007694929	Zpld2	144.18748679529236	272.40979665131994	214.70806757253862	209.63472900295525	258.9108268597976	204.809304248817	137.73902818550758	167.83343316361476
BRDN0007694928	Zpld2	203.75790387503756	268.0628318111393	509.32366838404795	238.00634646200183	783.1730484117261	259.14646660054393	252.52155167343054	342.35587996780833
BRDN0007694927	Zpld2	199.0193479709669	183.29701742761685	373.8282859353585	203.32992512316713	377.4172749747298	279.2094188534893	154.95640670869602	224.3860030339632
BRDN0007694926	Zpld2	297.852085398726	268.7873259511694	306.42801876857453	145.01048923512695	280.80875748973074	182.23848296425348	327.13019194058046	124.658890574424
BRDN0007694925	Zpld2	546.9647386412968	574.5238530438742	366.8798047841437	502.0200089281297	1611.430071649785	529.1603656714333	395.9997060333343	707.2111694539274
BRDN0007694924	Zpld2	354.7147562475737	305.0120329526747	334.22194337343393	438.97197013024845	191.92892140353155	320.1712797032527	791.9994120666686	400.1246341364439
BRDN0007693675	Zmiz1	512.4409741973535	716.524704489775	532.2536561830569	401.14314685151965	592.5322405746612	305.1240655135437	309.91281341739204	498.635562297696
