sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
BRDN0007695725	Nprl2	940.55/988.69/942.49	2588.1/2680.6/2773.1	942.49	2680.6	1.507	1069.3	4113.1	27.102	1	4.6504e-162	9.3007e-162	5.7692e-158	True
BRDN0007695733	Nprl3	973.96/981.88/1209.9	2583.1/2734.3/2928.3	981.88	2734.3	1.4766	26024	4309.1	26.696	1	2.5998e-157	5.1996e-157	1.6127e-153	True
BRDN0007696167	Tsc2	1376.8/1347.1/1366	3048.1/3300.6/3363.8	1366	3300.6	1.2721	235.79	6273.6	24.425	1	4.6811e-132	9.3623e-132	1.9358e-128	True
BRDN0007691846	Ifngr1	1076.8/1123/1085.9	2328.2/2561.2/2491.1	1085.9	2491.1	1.1971	730.16	4832	20.215	1	3.6349e-91	7.2697e-91	1.1274e-87	True
BRDN0007693737	Arl15	1416.6/1420.8/1361.8	2916.4/2928.3/2945	1416.6	2928.3	1.0471	1512.1	6539	18.694	1	2.7764e-78	5.5529e-78	6.8889e-75	True
BRDN0007696289	Zfp36l2	1180.2/1256.8/1129.2	2558.1/2258.1/2514.5	1180.2	2514.5	1.0906	4232	5311.8	18.307	1	3.6056e-75	7.2112e-75	7.4552e-72	True
BRDN0007691882	Jak2	1015.1/942.88/1017.4	2154.8/2207.9/2249.2	1015.1	2207.9	1.1203	2608.9	4475.1	17.831	1	2.0355e-71	4.0709e-71	3.6074e-68	True
BRDN0007695723	Nprl2	1002.2/981.26/1066.4	2223.2/2166.3/2159.1	1002.2	2166.3	1.1113	2280.6	4410.7	17.528	1	4.3687e-69	8.7373e-69	6.7747e-66	True
BRDN0007692401	Olfr1388	1159.6/1124.9/1118.6	2339.8/2356.8/2452.7	1124.9	2356.8	1.0664	622.84	5029.6	17.371	1	6.885e-68	1.377e-67	9.4906e-65	True
BRDN0007695731	Nprl3	1197.5/1258.6/1248.4	2473.1/2557.7/2512.8	1248.4	2512.8	1.0087	1345.3	5662.5	16.803	1	1.158e-63	2.3161e-63	1.4367e-60	True
BRDN0007695314	Dennd2d	1293.3/1284/1235.2	2696.5/2388/2556.2	1284	2556.2	0.99279	1233.5	5846.7	16.638	1	1.8531e-62	3.7061e-62	2.0899e-59	True
BRDN0007693958	G3bp1	1435.2/1542.2/1407.1	2739.8/2732.6/2734.7	1435.2	2734.7	0.92962	6110.9	6637	15.951	1	1.4038e-57	2.8076e-57	1.4513e-54	True
