sgRNA	Gene	Input1_DOI_rep1	Input1_DOI_rep2	Input1_DOI_rep3	ahEGFRv3_1to2rep1	ahEGFRv3_1to2rep2	ahEGFRv3_1to2rep3
BRDN0007693687	Zscan4f	858.3193952706406	798.6315724438964	850.1905363582769	824.9383977148057	640.7216762090892	694.110353194646
BRDN0007693686	Zscan4f	831.978755146317	876.0183527194678	844.3889880332514	901.5993397246664	800.0362551583763	824.2560444186421
BRDN0007693685	Zscan4f	569.2148085402602	575.7576452502509	570.6613897888682	314.97647912747124	382.701325519483	332.0383660714773
BRDN0007693684	Zscan4f	628.3206351606934	728.0548288325754	661.3765090529027	393.30396335493765	413.8715692269522	433.81897074665375
BRDN0007693683	Zscan4f	496.6174345390757	502.085430427907	539.543994227368	354.97349235000723	315.1657974866331	358.7349181174252
BRDN0007693682	Zscan4f	1046.5586039639772	1046.8883635679294	1110.7327975003295	891.6000864190323	893.5469862807839	879.3176830134097
BRDN0007693681	Zscan4c	539.0194405928648	586.2822473677286	616.0189494208855	449.9663987535303	419.06660984486376	413.7965567121928
BRDN0007693680	Zscan4c	788.9342944553492	758.3904467005993	801.6684958217003	751.6105401401562	722.1106458897033	670.7508701544415
BRDN0007693679	Zscan4c	979.7433216974003	850.6354887890803	838.5874397082259	801.6068066683263	734.2324073314968	779.205612841105
BRDN0007693678	Zscan4c	517.8184375659703	529.9446713271127	463.59645251794376	443.30022988310765	451.96853375830347	343.7181075915795
BRDN0007693677	Zscan4c	865.3863962796054	869.2083160552176	761.5850710306153	669.9499714774785	704.7938438299982	740.8293192750548
BRDN0007693676	Zscan4c	842.9004839783536	838.253603944989	821.7102082172428	656.6176337366331	618.2098335314726	665.7452666458263
BRDN0007694815	Zscan26	751.0294708618105	741.6749021610759	757.3657631578694	748.2774557049449	727.3056865076148	772.531474829618
BRDN0007694814	Zscan26	1476.360756236476	1360.1500501234423	1474.1206880405607	1699.8730619577811	1754.192048648128	1758.6353660268194
BRDN0007694813	Zscan26	649.521638187588	666.7644988543228	618.1286033572584	521.6277141105741	503.9189399374188	507.2344888730105
BRDN0007694812	Zscan26	1174.407076762523	1242.5221441045737	1341.2124900490683	1506.5541647155237	1546.3904239316666	1616.809933282721
BRDN0007694811	Zscan26	942.4809527410401	1025.2200650907694	1103.8764222071175	1208.2431077641093	959.3508341076633	1147.9517379757606
BRDN0007694810	Zscan26	911.6431301564663	989.9316932851088	910.8430870289976	1106.5840324901635	1139.4455755285965	1084.5474268666344
BRDN0007694929	Zpld2	845.470302527068	851.8736772734895	896.0755094743873	811.6060599739602	703.0621636240277	812.5763028985399
BRDN0007694928	Zpld2	848.0401210757826	757.7713524583947	776.8800620693188	1044.9219704387538	803.4996155703172	917.6939765794598
BRDN0007694927	Zpld2	1000.9443247242949	904.4966878608781	1131.8293368640584	1121.5829124486145	1090.9585297614221	1206.3504455762718
BRDN0007694926	Zpld2	864.1014870052481	965.7870178391306	966.2215028587862	828.2714821500169	810.4263363941993	849.2840619617183
BRDN0007694925	Zpld2	1182.1165324086667	1051.2220232633613	1147.124327902762	1481.5560314514387	1402.6609668361143	1418.2543274409834
BRDN0007694924	Zpld2	1088.3181553805875	1066.0802850762711	998.3937253884727	1049.9215970915707	1035.5447631703657	1066.1935473350452
BRDN0007693675	Zmiz1	1213.596809630419	1253.665840464256	1265.7923618237373	1163.2464678887561	1319.5403169495296	1301.4569122399612
BRDN0007693674	Zmiz1	1029.854783397333	941.0232481509478	1001.0307928089389	1161.5799256711505	1000.9111590509556	986.1038911972014
BRDN0007693673	Zmiz1	596.8403579389409	658.0971794634588	632.8961809118687	614.9540782964915	619.9415137374431	518.9142303931127
BRDN0007693672	Zmiz1	551.2260786992587	510.75274981877095	515.2829739590798	374.9719989612753	370.57956407768944	333.706900574349
BRDN0007693671	Zmiz1	508.8240726454695	594.330472516388	590.1756887003176	399.9701322253603	448.5051733463625	415.46509121506455
BRDN0007693670	Zmiz1	668.1528226657681	685.3373261204599	741.5433586350728	393.30396335493765	341.1410005761908	378.75733215188615
BRDN0007693669	Zfpm2	941.1960434666829	838.253603944989	842.2793340968785	931.5970996415683	912.5954685464595	804.2336303841811
BRDN0007693668	Zfpm2	995.1622329896873	953.4051329950391	925.0832510995147	946.5959796000194	800.0362551583763	907.6827695622293
BRDN0007693667	Zfpm2	643.0970918158018	667.3835930965274	609.1625741276736	596.6221139028291	562.7960669404163	557.2905239591629
BRDN0007693666	Zfpm2	654.0188206478384	596.8068494852063	614.964122452699	441.633687665502	427.7250108747163	483.8750058328061
BRDN0007693665	Zfpm2	1152.5636190984499	1151.5152905005018	1069.594545741058	1239.9074098986168	1236.419667062945	1266.4176876796546
BRDN0007693664	Zfpm2	768.3757460656333	692.1473627847103	774.2429946488526	659.9507181718445	682.2820011523816	650.7284561199806
BRDN0007693663	Zfp984	846.7552118014254	809.1561745613741	781.6267834261578	499.96266528170037	540.2842242627995	547.2793169419324
BRDN0007693662	Zfp984	791.5041130040637	804.8225148659421	771.0785137442933	781.6083000570583	718.6472854777622	789.2168198583354
BRDN0007693661	Zfp984	677.7896422234475	675.4318182451868	712.0082035258522	668.2834292598728	616.478153325502	655.7340596285958
BRDN0007693660	Zfp984	634.7451815324797	489.084451341611	543.2358886160206	459.9656520591643	490.0654982896547	532.2625064160867
BRDN0007693659	Zfp984	1088.9606100177662	1123.0369553590915	966.2215028587862	964.9279439936818	971.4725955494569	1057.8508748206864
BRDN0007693658	Zfp984	704.7727369849496	748.4849388253261	701.987347328081	548.2923895922647	516.0407013792124	538.9366444275737
BRDN0007693657	Zfp983	991.9499598037942	902.0203108920598	838.5874397082259	663.2838026070558	573.1861481762393	602.3409555367
BRDN0007693656	Zfp983	1032.4246019460475	1092.7013374910675	1075.9235075501767	1211.5761921993205	1257.1998295345913	1249.732342650937
BRDN0007693655	Zfp983	749.1021069502746	746.6276560987125	735.7418103100473	471.631447582404	438.11509211053936	422.1392292265515
BRDN0007693654	Zfp983	990.6650505294369	998.5990126759729	997.3388984202863	901.5993397246664	829.4748186598749	825.9245789215138
BRDN0007693653	Zfp983	979.1008670602217	880.3520124148998	1014.2161299112695	944.9294373824137	1066.715006877835	1091.2215648781214
BRDN0007693652	Zfp983	1274.6300001623883	1262.3331598551201	1331.191633851297	1514.8868758035521	1728.2168455585704	1711.9163999464104
BRDN0007693651	Zfp973	475.41643151218113	523.1346346628624	545.3455425523935	294.97797251620324	259.7520308955767	342.04957308870775
BRDN0007693650	Zfp973	439.4389718301782	452.55789105154133	448.3014614792403	278.3125503401465	209.53330492243188	230.25776139630082
BRDN0007693649	Zfp973	471.5617036891094	429.03230984776764	461.4867985815709	378.3050833964866	325.55587872245616	382.09440115762965
BRDN0007693648	Zfp973	995.1622329896873	1089.6058662800447	1197.7560223757114	904.9324241598777	1016.4962809046903	1011.1319087402775
BRDN0007693647	Zfp973	1360.7189215443238	1302.5742855984172	1294.8001034488645	1716.538484133838	1774.972211119774	1792.0060560842542
