sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
BRDN0007690768	Cd19	423.14/113.68/230.15/201.72	10395/9134.8/763.06/708.26	215.94	4949	4.5121	17931	17369	35.913	1	1.0156e-282	2.0313e-282	1.26e-278	True
BRDN0007696166	Tsc2	345.36/171.82/375.25/1093.9	3271.2/3099.9/4071.3/588.79	360.3	3185.6	3.1407	1.9136e+05	35345	15.028	1	2.4848e-51	4.9695e-51	1.5413e-47	True
BRDN0007695969	Setd5	570.36/647.36/315.21/441.43	1013.6/3695.6/5699.8/3742.3	505.89	3719	2.8755	21562	56620	13.503	1	7.6199e-42	1.524e-41	3.1511e-38	True
BRDN0007696535	BRDN0007696535_NegCtrl	123.15/124.09/102.07/141.8	1011.3/2657.6/1378.4/129.89	123.62	1194.8	3.2624	265.13	8014.1	11.966	1	2.9171e-33	5.8342e-33	9.0474e-30	True
BRDN0007692091	Mcm2	40.74/40.785/130.08/78.495	926.19/2125.8/104.37/480.71	59.64	703.45	3.5382	2010.2	2920	11.914	1	5.7683e-33	1.1537e-32	1.4312e-29	True
BRDN0007693489	Unc5c	324.07/251.65/239.16/124.92	2260/3330/1553.7/321.42	245.41	1906.8	2.9528	6927.7	20742	11.536	1	4.5506e-31	9.1011e-31	9.409e-28	True
BRDN0007695524	Ints10	47.221/633.48/1080.7/281.91	3567.7/2244.7/7818.7/1500	457.69	2906.2	2.6641	2.0614e+05	49270	11.031	1	1.3811e-28	2.7623e-28	2.4478e-25	True
BRDN0007695231	C2cd5	51.851/2224.1/60.039/58.238	617.86/375.82/673.46/1083.7	59.139	645.66	3.4266	1.5624e+06	2886.1	10.918	1	5.4888e-28	1.0978e-27	8.5117e-25	True
BRDN0007691794	Hdac7	75.924/89.381/106.07/177.25	1402.3/557.35/1089/560.35	97.725	824.66	3.0641	2312.7	5786.2	9.5565	1	6.765e-22	1.353e-21	9.1805e-19	True
BRDN0007694893	Mrtfa	401.84/1953.4/343.22/328.33	1507.4/3183/1186.4/2907	372.53	2207.2	2.5636	8.3423e+05	37021	9.5352	1	7.6793e-22	1.5359e-21	9.1805e-19	True
BRDN0007691586	Esco2	260.18/278.56/240.16/462.53	582.42/3856.7/2884.9/78.695	269.37	1733.6	2.6816	12778	23605	9.5306	1	8.1401e-22	1.628e-21	9.1805e-19	True
BRDN0007690766	Cd19	253.7/513.72/542.35/745.28	3397.6/13964/1980/1697.2	528.04	2688.8	2.3461	40956	60091	8.8147	1	6.0955e-19	1.2191e-18	6.3017e-16	True
BRDN0007693170	Spg11	274.07/272.48/302.2/1290.5	951/3878.4/691.19/2441.5	288.13	1696.2	2.5534	3.3514e+05	25917	8.7466	1	1.1418e-18	2.2835e-18	1.0896e-15	True
BRDN0007695343	Dohh	8.3331/17.355/17.011/75.963	337.87/632.77/16.738/82.488	17.183	210.18	3.5378	1177.8	523.07	8.4386	1	2.0756e-17	4.1512e-17	1.7167e-14	True
BRDN0007694309	Prss27	209.25/240.37/295.19/634.71	600.14/2595/1348.9/1768.3	267.78	1558.6	2.5366	46522	23412	8.436	1	1.7105e-17	3.4209e-17	1.5157e-14	True
BRDN0007695533	Ints13	305.55/418.27/578.38/849.1	5937.6/1090.4/3851.7/140.32	498.32	2471.1	2.3077	57674	55447	8.3779	1	2.7414e-17	5.4827e-17	2.1256e-14	True
BRDN0007695909	Rpl10	30.555/212.6/8.0052/3.3761	419.39/834.74/7.8768/33.185	19.28	226.29	3.4864	12627	613.11	8.3601	1	4.0067e-17	8.0134e-17	2.9239e-14	True
BRDN0007692508	Pelp1	37.036/24.298/226.15/67.523	601.32/558.62/41.353/365.03	52.279	461.83	3.1188	10493	2433.4	8.3023	1	5.9668e-17	1.1934e-16	4.1124e-14	True
BRDN0007693741	Arl15	4504.5/813.97/760.5/1272	6504.6/4414/4135.3/811.6	1043	4274.7	2.0341	4.0557e+06	1.5468e+05	8.217	1	1.0478e-16	2.0957e-16	6.8418e-14	True
BRDN0007695179	Alas1	118.52/16.488/30.02/50.642	36.622/626.37/730.57/114.72	40.331	370.55	3.1683	2298	1699.5	8.0102	1	6.8509e-16	1.3702e-15	4.2496e-13	True
BRDN0007696931	BRDN0007696931_NegCtrl	38.888/29.504/81.053/87.779	180.75/793.83/179.2/817.29	59.97	487.29	3.0016	863.49	2942.4	7.8778	1	1.9254e-15	3.8508e-15	1.0946e-12	True
BRDN0007691316	Cry1	144.44/109.34/62.041/184.84	17.721/1293.7/394.82/1690.5	126.89	844.24	2.7245	2726.7	8309.6	7.8694	1	1.941e-15	3.882e-15	1.0946e-12	True
BRDN0007692489	Pcyt2	29.629/52.066/81.053/30.385	212.65/1605.6/523.81/113.78	41.226	368.23	3.1283	651.91	1751.9	7.8126	1	3.3435e-15	6.6869e-15	1.8034e-12	True
