sgRNA	Gene	Input1_DOI_rep1	Input1_DOI_rep2	Input1_DOI_rep3	AR2473_SP	AR2474_SP	AR2475_SP	AR2476_SP
BRDN0007693687	Zscan4f	478.3377421584888	439.97400762296894	469.9393270656808	611.8448320933513	539.3943485805772	653.4514610536775	756.0108299198704
BRDN0007693686	Zscan4f	463.658215640152	482.6071478965124	466.7325450571681	410.77921589306277	173.91052044915335	807.2047460074839	171.26786897648537
BRDN0007693685	Zscan4f	317.22098768893795	317.19056363516364	315.43073938279565	121.07176889479744	42.11895417127933	48.047901548064516	101.34193430561265
BRDN0007693684	Zscan4f	350.16041304715725	401.09258369349726	365.573148970449	350.243331445664	296.1913551399643	768.7664247690323	220.92541678623556
BRDN0007693683	Zscan4f	276.762780455473	276.60381409475025	298.23072679168206	62.697880320520106	95.10731587063074	67.26706216729032	117.55664379451068
BRDN0007693682	Zscan4f	583.2426511797742	576.7411216204965	613.9529918116152	618.3308197127155	595.1000621619467	249.8490880499355	595.8905737170023
BRDN0007693681	Zscan4c	300.39323777767373	322.98867071236555	340.5019441766223	246.46752953583766	148.09567756998214	57.657481857677425	149.98606277230672
BRDN0007693680	Zscan4c	439.66972108579665	417.8047746807263	443.11896844902907	1137.2098292618473	468.74319964810866	586.1843988863872	448.94476897386403
BRDN0007693679	Zscan4c	546.0067790357002	468.62347788679017	463.5257630486554	384.83526541560616	403.52675447967613	1941.1352225418066	594.8771543739463
BRDN0007693678	Zscan4c	288.57800911657336	291.9517445932259	256.2510350438793	190.2556368346817	470.10187558911764	201.80118650187097	503.66941349889487
BRDN0007693677	Zscan4c	482.27615171218895	478.8554315524406	420.9630200265776	711.296642256935	436.1349770638924	759.1568444594194	276.66348065432254
BRDN0007693676	Zscan4c	469.7448485867795	461.8021754430232	454.19694266025476	399.96923652745585	457.87379212003657	816.8143263170969	578.6624448850482
BRDN0007694815	Zscan26	418.54552438867773	408.5960163816409	418.6308149294774	1005.328081001443	627.7082847461629	576.5748185767742	629.3334120378545
BRDN0007694814	Zscan26	822.7695594911731	749.3200734478006	814.814155799366	257.27750890144455	980.9640294085057	816.8143263170969	949.5739244435905
BRDN0007694813	Zscan26	361.9756417082576	367.3271365968508	341.6680467251724	136.20574000664712	502.7100981733339	172.97244557303227	318.2136737196237
BRDN0007694812	Zscan26	654.4920603785312	684.5177002320145	741.3496952407111	1591.2289626173379	1269.003328902416	1431.8274661323226	795.5341842990592
