sgRNA	Gene	Input1_DOI_rep1	Input1_DOI_rep2	Input1_DOI_rep3	amCD19_1to10rep1	amCD19_1to10rep2	amCD19_1to10rep3
BRDN0007693687	Zscan4f	840.3322861380703	788.1645366500861	837.7746860390199	906.1653799953089	846.5009303451576	906.857471980113
BRDN0007693686	Zscan4f	814.54364562036	864.5370692712185	832.0578612583566	757.7150788356678	773.9437077441441	840.9672541306975
BRDN0007693685	Zscan4f	557.286231675397	568.2116427012248	562.3276738797888	261.33438433311807	308.83330645559596	298.23993342367004
BRDN0007693684	Zscan4f	615.1534250322102	718.5127868996134	651.7180249956148	411.33104279650536	483.71481734009006	511.51616488362015
BRDN0007693683	Zscan4f	486.21022244365895	495.50499164590684	531.6647046016857	368.03303829161007	316.27507287621273	362.3961981717851
BRDN0007693682	Zscan4f	1024.6267171548777	1033.1676212986788	1094.5120898251712	1080.9037553186363	1203.7057185347626	1083.7206883127544
BRDN0007693681	Zscan4c	527.7236437648511	578.5983071376988	607.0228494377018	343.29132143166987	444.64554363185204	325.98318304447656
BRDN0007693680	Zscan4c	772.4012330670288	748.4508196870972	789.961242418927	827.3011575042495	710.6886931689015	743.8658804578747
BRDN0007693679	Zscan4c	959.2116290123931	839.4868785714871	826.3410364776934	901.52630808407	958.1274266544092	837.4993479280967
BRDN0007693678	Zscan4c	506.966933104255	522.9991033895145	456.82627110936636	361.847609076625	381.39052905660947	319.04737063927496
BRDN0007693677	Zscan4c	847.2511896916023	857.8162864005589	750.4631802979807	671.1190698258772	645.5732369885048	646.7645067850519
BRDN0007693676	Zscan4c	825.2364965667277	827.2672733521059	809.7102734794001	522.6687686662361	433.4828940009269	445.62594703420467
BRDN0007694815	Zscan26	735.2907503708116	731.9543526409327	746.3054895484073	814.9302990742794	768.3623829286815	705.7189122292657
BRDN0007694814	Zscan26	1445.421851456052	1342.3236333490227	1452.5932056321717	1482.956654292664	1486.4928425182	1591.7689469937739
BRDN0007694813	Zscan26	635.9101356928062	658.0257410636765	609.1016948124884	453.0826899976544	429.7620107906185	459.49757184460793
BRDN0007694812	Zscan26	1149.7959723505933	1226.2373837649013	1321.6259470206128	1857.1751217992592	1821.3723314459546	1870.9353963031394
BRDN0007694811	Zscan26	922.7301375483153	1011.7833121647617	1087.7558423571147	1298.9401351468591	1337.6575141058645	1338.6117942039143
BRDN0007694810	Zscan26	892.53855840563	976.9574372895254	897.5414905641361	1119.5626879122929	1123.7067295131324	1194.6936867959805
BRDN0007694929	Zpld2	827.7524614952848	840.7088390934251	882.9895729406296	658.7482113959071	710.6886931689015	603.4156792525417
BRDN0007694928	Zpld2	830.268426423842	747.8398394261283	765.5348092651839	980.3905305751293	948.8252186286383	965.8118774243269
BRDN0007694927	Zpld2	979.9683396729893	892.6421612757952	1115.3005435730377	1101.0064002673378	1110.683638277053	1205.0974054037831
BRDN0007694926	Zpld2	845.9932072273239	953.1292071117321	952.1111816522857	784.0031529993543	725.5722260101351	671.0398502032576
BRDN0007694925	Zpld2	1157.3438671362646	1037.4444831254623	1130.3721725402409	1113.3772586973078	1127.4276127234407	1156.5467185673717
BRDN0007694924	Zpld2	1065.5111472439305	1052.1080093887197	983.8135736177821	1051.5229665474574	1125.5671711182865	1095.8583600218574
BRDN0007693675	Zmiz1	1188.164437511089	1237.2350284623444	1247.30722487199	1057.7083957624425	1090.218780620357	1081.986735211454
