sgRNA	Gene	AR2466_BM	AR2467_BM	AR2468_BM	AR2469_BM	AR2480_BM	AR2481_BM	AR2482_BM	AR2483_BM
BRDN0007693687	Zscan4f	184.2548408962904	483.35014218671216	182.11892407227825	331.70431459330587	457.19012519692626	1845.888644547868	713.8325765579048	717.7391236696042
BRDN0007693686	Zscan4f	625.9109168135292	367.936194411429	377.2463427211478	304.69531187832933	774.9786101529293	506.2132293912436	88.61369915891231	807.8120652133458
BRDN0007693685	Zscan4f	55.5542233858162	39.04983195404317	61.03985916708227	228.73249174245774	80.3331486134134	21.731376009220053	56.12200946731113	22.75526944262946
BRDN0007693684	Zscan4f	278.69702065217797	246.44782833218358	66.04312631192508	122.38454355223755	880.1205252498969	106.10024757442731	72.86015264177234	126.10211816123825
BRDN0007693683	Zscan4f	295.3632876679228	235.16676576768222	210.13722008339798	105.50391685537718	92.14684693891537	336.1971700249926	126.02837213711973	260.73746236346256
BRDN0007693682	Zscan4f	520.3578923804785	229.96012150714313	172.11238978259263	357.0252546385964	352.04821009995874	384.77318698677857	383.00809969796546	950.9806354565561
BRDN0007693681	Zscan4c	97.21989092517835	164.8770682504045	221.14440780205217	220.29217839402756	114.59287375736912	88.20382027271668	926.5054545392943	75.8508981420982
BRDN0007693680	Zscan4c	84.25723880182125	393.96941571412447	125.08167862107022	785.7931727388493	922.6498392217039	125.27499111197442	70.89095932712985	461.74234244002275
BRDN0007693679	Zscan4c	562.9494636429375	157.06710185959588	386.2522235818649	176.40254898219067	404.0284827321674	704.352245945897	2044.0226605989105	327.10699823779845
BRDN0007693678	Zscan4c	226.8464121587495	187.43919337940724	154.10062806115852	118.16438687802246	335.509032444256	196.86070031881695	38.39926963552867	57.83630983334987
BRDN0007693677	Zscan4c	159.25544037267312	370.53951654169856	1145.7481761690033	248.14521244384716	232.72985701238883	960.0154931131917	258.94892087548817	453.2091163990367
BRDN0007693676	Zscan4c	452.76692059440205	803.5587642098662	523.3417433505579	803.5178307705527	422.9304000529706	1021.3746724333424	92.5520857881973	297.71477520773544
BRDN0007694815	Zscan26	987.9392725444314	118.88504394897589	838.5475734756548	130.82485690066773	1678.7265320538302	71.58570920684252	976.7198840626779	1115.0082026888435
BRDN0007694814	Zscan26	433.32294240936636	726.326874345203	1167.7625516063117	443.1164507925842	296.5238279700995	391.16476816596094	970.8123041187505	826.7747897488704
BRDN0007694813	Zscan26	54.628319662719264	144.05049120824816	139.09082662663008	148.5495149323711	342.59725143955717	177.68595678126985	834.9379654084182	182.04215554103567
BRDN0007694812	Zscan26	951.8290273436509	442.56476214582267	298.19472183263144	839.8111781688024	1135.2964090807395	7689.07215855639	369.22374649546794	1099.838023060424
BRDN0007694811	Zscan26	341.6584738227696	327.1508143705395	538.3515447850863	275.1542151588237	189.01917320803153	209.6438626771817	385.9618896699292	1281.8801786014594
BRDN0007694810	Zscan26	413.87896422433073	114.54617373185998	266.17381210563747	539.3360229646881	160.6662972268268	168.73774313041451	296.36359385369565	325.210725784246
BRDN0007694929	Zpld2	124.99700261808646	169.21593846752043	227.1483283758635	140.10920158394092	663.9298458932108	136.77983723450268	358.39318326493424	145.0648426967628
BRDN0007694928	Zpld2	511.09885514950906	249.05115046245314	694.4534797041819	108.03601085990624	141.76437990602366	4223.556843203709	1220.8998550783474	704.465216494737
BRDN0007694927	Zpld2	118.5156765564079	263.8033092006472	201.13133922268094	407.66713472917746	183.11232404528056	536.892819051319	184.11957491907336	174.45706572682585
BRDN0007694926	Zpld2	337.028955207285	198.7202559439086	763.4985663030127	193.283175679051	375.6756067509627	813.0091259919973	135.8743387103322	125.15398193446202
BRDN0007694925	Zpld2	302.7705174526983	1426.6205273877106	552.3606927906461	371.3737873309277	1528.692563319955	1017.539723725833	1211.0538885051349	513.8898349127153
BRDN0007694924	Zpld2	700.909118384381	237.77008789795178	810.5292774645351	233.79667975151585	64.97534079026084	455.0805799577846	1041.7032634458803	421.92062091542124
BRDN0007693675	Zmiz1	637.9476652137894	1000.5434720669284	1359.8880099682756	644.8399398200654	439.46957770867334	2293.2993270906336	3694.2066582693224	987.957948300829
BRDN0007693674	Zmiz1	1372.18931762966	250.7866985492995	486.317566478721	411.0432600685495	103.96054526441735	841.1320831803997	111.25942227730101	1897.2205897792312
BRDN0007693673	Zmiz1	90.73856486349979	135.37275077401634	266.17381210563747	121.54051221739452	685.1945028791143	170.016059366251	199.87312143621332	64.47326342078347
BRDN0007693672	Zmiz1	74.07229784775494	274.2165977217254	25.016335724214045	358.71331730828246	109.86739442716834	164.90279442290512	28.55330306231619	249.35982764214782
BRDN0007693671	Zmiz1	98.14579464827528	79.8352119949327	112.07318404447892	168.8062669686035	3.5441094976505916	67.75076049933311	5.907579943927487	379.254490710491
BRDN0007693670	Zmiz1	373.1392004080655	365.3328722811595	106.06926347066755	258.27358846196336	11.81369832550197	181.52090548877928	134.88974205301096	178.24961063393076
BRDN0007693669	Zfpm2	250.91990895926983	449.50695449320807	646.4221151136909	237.17280509088792	51.980272632208674	1224.6269539313419	286.5176272804831	566.0373273854078
BRDN0007693668	Zfpm2	2009.2110791203527	232.5634436374127	150.09801434528427	458.3090148197585	1781.5057074856973	412.896144175181	86.64450584426982	274.959505765106
BRDN0007693667	Zfpm2	245.3644866206882	73.76079369097044	348.2273932810595	161.20998495501635	372.1314972533121	74.14234167851548	850.6915119255582	132.73907174867185
BRDN0007693666	Zfpm2	115.73796538711709	194.3813857267927	40.02613715874247	100.43972884631908	108.68602459461813	354.0935973267032	458.8220423117015	24.651541896181914
BRDN0007693665	Zfpm2	382.39823763903485	609.1773784830735	620.4051259605083	1297.276161653718	421.74903022042037	994.5300314807765	354.45479663564925	1169.0519676150884
BRDN0007693664	Zfpm2	327.7699179763156	502.4411711420222	278.18165325326015	271.7780898194516	215.0093095241359	201.97396526216284	316.0555270001206	164.97570345906357
BRDN0007693663	Zfp984	60.183742001300885	120.62059203582226	171.11173635362405	283.59452850725387	125.22520225032089	342.58875120417497	355.4393932929705	93.86548645084652
BRDN0007693662	Zfp984	271.2897908674025	303.7209151981136	312.2038698381913	156.14579694595824	399.30300340196663	308.07421283659016	134.88974205301096	144.11670646998658
BRDN0007693661	Zfp984	225.92050843565255	617.8551189173054	270.17642582151166	109.72407352959227	122.8624625852205	83.09055532937079	489.34453868866024	474.0681133881137
BRDN0007693660	Zfp984	122.21929144879564	350.5807135429654	53.034631735333775	67.5225067874414	766.709021325078	46.019384490113055	44.306849579456156	241.774737827938
BRDN0007693659	Zfp984	674.9838141376669	301.98536711126724	621.4057793894768	693.7937572409604	119.3183530875699	1277.0379196006372	1522.1864322186493	420.972484688645
BRDN0007693658	Zfp984	96.29398720208141	400.9116080615099	70.04574002779933	216.9160530546555	354.4109497650591	24.288008480893	18.70733648910371	394.42467033891063
BRDN0007693657	Zfp983	136.10784729524968	175.2903567714827	152.0993212032214	254.8974631225913	295.3424581375493	905.0478949722234	245.16456767299073	800.226975399136
BRDN0007693656	Zfp983	1079.603741131028	233.43121768083586	448.2927361779157	409.3551973988635	523.3468358197373	3142.101307686052	703.0020133273711	319.5219084235886
BRDN0007693655	Zfp983	347.2138961613513	180.49700103202179	149.09736091631572	508.95089491033957	216.19067935668608	245.43671728060295	373.1621331247529	493.9789741504145
BRDN0007693654	Zfp983	276.84521320598407	418.26708892997357	392.2561441556762	605.1704670824436	791.5177878086321	453.8022637219482	978.6890773773205	457.94979753291784
BRDN0007693653	Zfp983	208.32833769681076	327.1508143705395	419.2737867378274	302.16321787380025	283.5287598120473	386.05150322261505	231.38021447049326	151.7017962841964
BRDN0007693652	Zfp983	1302.74653839739	1107.2796794079798	660.4312631192508	518.2352395936127	557.606560963693	2201.2605581104076	969.8277074614292	1205.081144232585
BRDN0007693651	Zfp973	211.10604886610156	47.72757238827499	187.12219121712104	35.449316063406734	111.04876425971852	589.3037847206143	57.10660612463238	73.00648946176952
BRDN0007693650	Zfp973	49.99880104723458	123.22391416609179	207.13525979649228	40.51350407246484	30.715615646305125	61.35917932015074	97.47506907480354	33.18476793716796
BRDN0007693649	Zfp973	112.96025421782628	98.92624095024271	70.04574002779933	59.926224773854244	17.720547488252958	838.5754507087267	168.3660284019334	49.30308379236383
BRDN0007693648	Zfp973	351.84341477683597	227.3567993768736	944.6168369463223	466.7493281681887	1671.6383130585289	934.4491683964623	303.25577045494435	130.8427992951194
