sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
BRDN0007691846	Ifngr1	1271.6/1266.2/1233.3	5167.1/5779.5/5685.6	1266.2	5685.6	2.1659	555.02	3288.2	77.07	1	0	0	0	True
BRDN0007691882	Jak2	1222.7/1121.8/1214.4	4905.8/5424.2/5229.7	1214.4	5229.7	2.1056	4317.5	3148.3	71.561	1	0	0	0	True
BRDN0007696961	Jak1	1219.1/1234.8/1254.4	4469.2/4650.2/4594.7	1234.8	4594.7	1.8949	316.82	3203.4	59.364	1	0	0	0	True
BRDN0007695725	Nprl2	1239.5/1256.3/1127.2	4636.2/4408/4417.4	1239.5	4417.4	1.8326	6450.3	3216.3	56.036	1	0	0	0	True
BRDN0007696169	Tsc2	1386.1/1405.3/1319.9	4446/4739.5/4932.5	1386.1	4739.5	1.773	2372.4	3612.7	55.792	1	0	0	0	True
BRDN0007693224	Stat1	1128.2/1141/1093.1	4085.4/4227.4/4135	1128.2	4135	1.8729	698.35	2916.3	55.679	1	0	0	0	True
BRDN0007696962	Jak1	1116.6/1043.8/1069.8	3607.4/3495.1/3359.7	1069.8	3495.1	1.707	1434.2	2759.5	46.168	1	0	0	0	True
BRDN0007691884	Jak2	1728/1638.8/1580.4	4599.8/4777.2/4635.3	1638.8	4635.3	1.4995	5686.9	4300.4	45.694	1	0	0	0	True
BRDN0007696167	Tsc2	1827.3/1666.7/1811	5013.3/4874.4/4943.6	1811	4943.6	1.4483	10540	4771.7	45.348	1	0	0	0	True
BRDN0007693222	Stat1	1028.4/1025.2/1052	3519.7/3362.1/3309.9	1028.4	3362.1	1.708	282.48	2648.5	45.347	1	0	0	0	True
BRDN0007691886	Jak2	879.24/845.88/933.39	2916/3004.9/2944.3	879.24	2944.3	1.7425	2022.3	2250.2	43.535	1	0	0	0	True
BRDN0007696958	Jak1	1840.9/1982.8/1833.7	4651.1/4705.7/4875.2	1840.9	4705.7	1.3535	10095	4853.8	41.12	1	0	0	0	True
BRDN0007691885	Jak2	787.85/802.22/772.59	2618.3/2629.7/2671.1	787.85	2629.7	1.7377	219.73	2007.5	41.109	1	0	0	0	True
