sgRNA	Gene	Input2_ACT_rep1	Input2_ACT_rep2	Input2_ACT_rep3	amCD19_1to2rep1	amCD19_1to2rep2	amCD19_1to2rep3
BRDN0007693687	Zscan4f	1387.8291295405104	1689.467431029008	1493.6241492090517	1584.1188671665082	1281.9794525840916	1636.8472693967062
BRDN0007693686	Zscan4f	1591.4630137163158	1490.6465806665117	1476.4997959060179	1211.983112748702	1017.8582787210825	1120.3919171723753
BRDN0007693685	Zscan4f	776.9274770130947	690.2652086944106	735.39583906917	398.57162768245905	357.0333654590874	345.7088888358787
BRDN0007693684	Zscan4f	972.3059334520431	981.8691225594054	940.8880787055746	1275.0225028413358	1220.3859772563544	1165.713509306347
BRDN0007693683	Zscan4f	711.8013248667787	711.6766848872949	696.3903676567044	1158.0946018630634	1112.8583847350503	1058.2064768025068
BRDN0007693682	Zscan4f	1668.5136725936475	1698.6437779688156	1531.6782676602377	2415.8321106467415	2579.6182633023536	2602.302580901782
BRDN0007693681	Zscan4c	732.898529083191	826.8908186871005	732.541780185331	736.1373939849499	674.3963569782762	734.6313887762423
BRDN0007693680	Zscan4c	1295.1848849380044	1270.414254111131	1271.0075562696134	1327.8942493706415	1243.3530358531377	1337.513963209543
BRDN0007693679	Zscan4c	1628.1538036579022	1628.2917847636245	1516.4566202797632	2190.1104235408593	2119.233134157741	2260.8096541248774
BRDN0007693678	Zscan4c	677.8623441708112	637.2463152644116	707.8066031920602	621.2430217193431	657.693041635161	729.3614362025246
BRDN0007693677	Zscan4c	1407.0917942598435	1447.8236282807432	1345.213087249426	1346.196007784632	1235.00137818158	1355.431801960183
BRDN0007693676	Zscan4c	1397.9190967744469	1402.9614876861285	1433.6889126484336	855.098823675888	887.363627602995	888.514003928798
BRDN0007694815	Zscan26	1343.8001816106066	1298.9628890349766	1371.8509701652563	1620.722383994489	1468.8477929851929	1520.9083127749177
BRDN0007694814	Zscan26	3195.767803912187	3065.919472000137	3241.25953907977	2265.3509859094866	2386.4861796475843	2207.0561378729576
BRDN0007694813	Zscan26	765.0029702820791	798.3421837632549	840.9960177712113	1602.4206255804986	1787.2547417133264	1836.051476683234
BRDN0007694812	Zscan26	2612.384243840961	2746.7865173157197	2855.9615897615117	2973.0189779171183	3084.8935524315884	3053.410521212014
BRDN0007694811	Zscan26	2177.5983830331606	2015.7375444443867	2137.690103995375	2337.5412552091157	2162.035379724474	2376.748610746666
BRDN0007694810	Zscan26	1897.8311097285632	1784.2896827403524	1739.0732132192015	1871.8631800086916	1871.8152756378472	1743.300311385803
BRDN0007694929	Zpld2	1619.8983759210453	1599.7431498397789	1558.316150576068	1266.8883879906734	1126.4298284513313	1258.464674603778
